currency_pair_cd,execution_dt,execution_id,execution_price,filled_quantity,id,is_cs,markup,open_close,order_id,original_price,sequence_number,side,update_date
BTC_JPY,'2018-11-29 00:25:22,'2018112900014922004,470301.5,0.19,6526633,0,0,,'2018112900106709650,0,8117,1,'2018-11-29 09:25:22
BTC_JPY,'2018-11-29 00:25:30,'2018112900014922008,470301.5,0.006947719999999991,6526634,0,0,,'2018112900106709651,0,115997,1,'2018-11-29 09:25:30
BTC_JPY,'2018-11-29 00:26:11,'2018112900014922022,470301,0.00325228000000001,6526644,0,0,,'2018112900106709651,0,115998,1,'2018-11-29 09:26:11
BTC_JPY,'2018-11-29 00:26:11,'2018112900014922023,470738,0.04,6526645,0,0,,'2018112900106709647,0,115999,1,'2018-11-29 09:26:11
BTC_JPY,'2018-11-29 00:26:17,'2018112900014922026,471403.7,0.00097175,6526646,0,0,,'2018112900106709660,0,8118,1,'2018-11-29 09:26:17
BTC_JPY,'2018-11-29 00:26:43,'2018112900014922040,470868.17,0.04,6526651,0,0,,'2018112900106709667,0,116000,1,'2018-11-29 09:26:43
BTC_JPY,'2018-11-29 00:26:46,'2018112900014922042,470868.17,0.02,6526652,0,0,,'2018112900106709668,0,116001,1,'2018-11-29 09:26:46
BTC_JPY,'2018-11-29 00:26:57,'2018112900014922048,470868.17,0.02,6526654,0,0,,'2018112900106709671,0,116002,1,'2018-11-29 09:26:57
BTC_JPY,'2018-11-29 00:27:03,'2018112900014922052,471146.2,1.78,6526655,0,0,,'2018112900106709673,0,116003,1,'2018-11-29 09:27:03
BTC_JPY,'2018-11-29 00:27:49,'2018112900014922066,471021.28,2.19,6526656,0,0,,'2018112900106709681,0,116004,1,'2018-11-29 09:27:49
BTC_JPY,'2018-11-29 00:28:29,'2018112900014922076,471021.28,0.04,6526658,0,0,,'2018112900106709685,0,116005,1,'2018-11-29 09:28:29
BTC_JPY,'2018-11-29 00:30:07,'2018112900014922097,471021,0.01,6526663,1,0,,'2018112900106709697,0,116006,3,'2018-11-29 09:30:07
BTC_JPY,'2018-11-29 00:30:07,'2018112900014922097,471021,0.01,6526664,1,0,,'2018112900106709688,0,116007,1,'2018-11-29 09:30:07
BTC_JPY,'2018-11-29 00:30:20,'2018112900014922099,470509.83,0.1,6526665,0,0,,'2018112900106709698,0,116008,1,'2018-11-29 09:30:20
BTC_JPY,'2018-11-29 00:31:16,'2018112900014922106,471021,0.03,6526744,1,0,,'2018112900106709701,0,116009,3,'2018-11-29 09:31:16
BTC_JPY,'2018-11-29 00:31:16,'2018112900014922106,471021,0.03,6526745,1,0,,'2018112900106709688,0,116010,1,'2018-11-29 09:31:16
BTC_JPY,'2018-11-29 00:31:16,'2018112900014922107,471230,0.03,6526746,1,0,,'2018112900106709701,0,116011,3,'2018-11-29 09:31:16
BTC_JPY,'2018-11-29 00:31:16,'2018112900014922107,471230,0.03,6526747,1,0,,'2018112900106709679,0,116012,1,'2018-11-29 09:31:16
BTC_JPY,'2018-11-29 00:31:50,'2018112900014922112,471230,0.07,6526748,1,0,,'2018112900106709703,0,116013,3,'2018-11-29 09:31:50
